A04003003-Govern de les Illes Balears;;;;Data actualització: 19/01/2023;;;
;A04026949-Conselleria d'Agricultura, Pesca i Alimentació;;;;;;
;;A04026951-Direcció General de Pesca i Medi Marí;;;;;
;;A04026952-Direcció General de Polítiques per a la Sobirania Alimentària;;;;;
;;A04026954-Fons de Garantia Agrària i Pesquera de les Illes Balears (FOGAIBA);;;;;
;;A04026955-Institut de Recerca i Formació Agroalimentària i Pesquera de les Illes Balears;;;;;
;;A04027006-Direcció General d'Agricultura, Ramaderia i Desenvolupament Rural;;;;;
;;A04027054-Secretaria General d'Agricultura, Pesca i Alimentació;;;;;
;A04026929-Conselleria d'Afers Socials i Esports;;;;;;
;;A04005885-Consorci de Gestió Sociosanitari d'Eivissa;;;;;
;;A04005883-Consorcio Protección y Acogida Personas Disminuidas Psíquicas Profundas de Baleares;;;;;
;;A04005884-Consorci Recursos Sociosanitaris i Assistencials de les Illes Balears;;;;;
;;A04026930-Direcció General d'Atenció a la Dependència;;;;;
;;A04013498-Direcció General de Cooperació;;;;;
;;A04026936-Direcció General d'Esports;;;;;
;;;A04032430-Centre de Tecnificació Esportiva Illes Balears;;;;
;;A04026935-Direcció General d'Infància, Joventut i Famílies;;;;;
;;A04026931-Direcció General de Planificació, Equipaments i Formació;;;;;
;;;A04030897-Eadisoc Equip d'avaluació Dificultats Socialització i Comunicació Eivissa i Formentera;;;;
;;A04026932-Direcció General de Serveis Socials;;;;;
;;A04005599-Fundació d'Atenció i Suport a la Dependència i de Promoció de l'Autonomia Personal de les Illes Balears;;;;;
;;A04005600-Fundació Institut Socioeducatiu s'Estel;;;;;
;;A04027057-Fundació per a l'Esport Balear;;;;;
;;A04027055-Institut Balear de la Joventut (Ibjove);;;;;
;;A04005601-Oficina Balear de la Infància i l'adolescència;;;;;
;;A04003780-Secretaria General d'Afers Socials i Esports;;;;;
;A04026923-Conselleria d'Educació i Formació Professional;;;;;;
;;A04019979-Conseller d'Educació i Formació Professional;;;;;
;;;A04019564-CEIP Robert Graves;;;;
;;;A04019565-CEIP Robines;;;;
;;;A04019566-CEIP Rodamilans;;;;
;;;A04019567-CEIP Rosa Dels Vents;;;;
;;;A04019568-CEIP SA Blanca Dona;;;;
;;;A04019569-CEIP SA Bodega;;;;
;;;A04019570-CEIP SA Casa Blanca;;;;
;;;A04019571-CEIP SA Garriga;;;;
;;;A04019572-CEIP SA Graduada-Eivissa;;;;
;;;A04019573-CEIP SA Graduada-Maó;;;;
;;;A04019574-CEIP SA Graduada-Sa Pobla;;;;
;;;A04019575-CEIP SA Indioteria;;;;
;;;A04019576-CEIP SA Joveria;;;;
;;;A04019577-CEIP SA Marina de Llucmajor;;;;
;;;A04019578-CEIP S'Albufera;;;;
;;;A04019580-CEIP S'Algar-Felanitx;;;;
;;;A04019579-CEIP S'Algar-Llucmajor;;;;
;;;A04019581-CEIP S'Alzinar;;;;
;;;A04019582-CEIP Sant Antoni de Portmany;;;;
;;;A04019583-CEIP Sant Carles;;;;
;;;A04019584-CEIP Sant Ciriac;;;;
;;;A04019585-CEIP Sant Domingo;;;;
;;;A04019586-CEIP Sant Ferran de Ses Roques;;;;
;;;A04019588-CEIP Sant Jordi-Palma;;;;
;;;A04019587-CEIP Sant Jordi-S.Josep SA Talaia;;;;
;;;A04019589-CEIP Sant Lluís;;;;
;;;A04019590-CEIP Sant Mateu de Baix;;;;
;;;A04019591-CEIP Sant Miquel;;;;
;;;A04019592-CEIP Sant Rafel;;;;
;;;A04019593-CEIP Santa Agnés de Corona;;;;
;;;A04019594-CEIP Santa Catalina;;;;
;;;A04019595-CEIP Santa Eulària;;;;
;;;A04019596-CEIP Santa Gertrudis;;;;
;;;A04019597-CEIP Santa Isabel;;;;
;;;A04019598-CEIP Santa Maria del Mar;;;;
;;;A04019599-CEIP S'Aranjassa;;;;
;;;A04019600-CEIP S'Auba;;;;
;;;A04019601-CEIP Ses Bassetes;;;;
;;;A04019602-CEIP Ses Cases Noves;;;;
;;;A04019603-CEIP Ses Comes;;;;
;;;A04019604-CEIP Ses Marjades;;;;
;;;A04021368-CEIP Ses Planes;;;;
;;;A04019605-CEIP Ses Quarterades;;;;
;;;A04019606-CEIP Ses Roques;;;;
;;;A04019607-CEIP Ses Rotes Velles;;;;
;;;A04019608-CEIP Ses Salines;;;;
;;;A04019609-CEIP S'Hort des Fassers;;;;
;;;A04019686-CEIP Simó Ballester;;;;
;;;A04019610-CEIP S'Olivar;;;;
;;;A04019611-CEIP S'Olivera;;;;
;;;A04019612-CEIP Son Anglada;;;;
;;;A04019613-CEIP Son Basca;;;;
;;;A04019614-CEIP Son Caliu;;;;
;;;A04019615-CEIP Son Canals;;;;
;;;A04019616-CEIP Son Ferrer;;;;
;;;A04019617-CEIP Son Ferriol;;;;
;;;A04019618-CEIP Son Juny;;;;
;;;A04019619-CEIP Son Oliva;;;;
;;;A04019620-CEIP Son Pisà;;;;
;;;A04019621-CEIP Son Quint;;;;
;;;A04019622-CEIP Son Rullan;;;;
;;;A04019623-CEIP Son Serra (INTEGRAT MÚSICA);;;;
;;;A04019624-CEIP Son Verí;;;;
;;;A04019625-CEIP Talaiot;;;;
;;;A04019626-CEIP Torres de Balàfia;;;;
;;;A04019627-CEIP Tramuntana;;;;
;;;A04019628-CEIP Tresorer Cladera;;;;
;;;A04019629-CEIP Urbanitzacions de Llucmajor;;;;
;;;A04019630-CEIP Vara de Rey;;;;
;;;A04019631-CEIP Venda d'Arabí;;;;
;;;A04019632-CEIP Verge de Lluc;;;;
;;;A04019633-CEIP Vialfàs;;;;
;;;A04019634-CEIP Vora Mar;;;;
;;;A04019635-CEIP Xaloc;;;;
;;;A04019636-Cep de Formentera;;;;
;;;A04019637-Cep de Manacor;;;;
;;;A04019638-Cep de Menorca;;;;
;;;A04019639-Cep de Palma;;;;
;;;A04019640-Cep d'Eivissa;;;;
;;;A04019641-Cep d'Inca;;;;
;;;A04019642-Cepa Alcúdia;;;;
;;;A04019643-Cepa Amanecer;;;;
;;;A04019644-Cepa Artà;;;;
;;;A04019645-Cepa Aula d'Alaior;;;;
;;;A04019646-Cepa Aula d'Andratx;;;;
;;;A04019647-Cepa Aula de Cala Rajada;;;;
;;;A04019648-Cepa Aula de Felanitx;;;;
;;;A04019649-Cepa Aula de Ferreries;;;;
;;;A04019650-Cepa Aula de Formentera;;;;
;;;A04019651-Cepa Aula de Muro;;;;
;;;A04019652-Cepa Aula de Sant Lluís;;;;
;;;A04019653-Cepa Aula de Santa Eulària;;;;
;;;A04019654-Cepa Aula de Sóller;;;;
;;;A04019655-Cepa Aula de Son Servera;;;;
;;;A04019656-Cepa Aula del Centre Penitenciari Maó;;;;
;;;A04019657-Cepa Aula del Centre Penitenciari Eivissa;;;;
;;;A04019658-Cepa Aula d'Es Castell;;;;
;;;A04019659-Cepa Aula d'Es Mercadal;;;;
;;;A04019660-Cepa Aula d'Es Migjorn Gran;;;;
;;;A04019661-Cepa Calvià;;;;
;;;A04019662-Cepa Camp Rodó;;;;
;;;A04019663-Cepa Ciutadella;;;;
;;;A04019664-Cepa Francesc de Borja Moll;;;;
;;;A04019665-Cepa Joan Mir i Mir;;;;
;;;A04019666-Cepa la Balanguera;;;;
;;;A04019667-Cepa Llevant;;;;
;;;A04019668-Cepa Mancomunitat des Pla de Mallorca;;;;
;;;A04019669-Cepa Mancomunitat des Raiguer;;;;
;;;A04019670-Cepa Pitiüses;;;;
;;;A04019671-Cepa SA Pobla;;;;
;;;A04019672-Cepa Sant Antoni;;;;
;;;A04019673-Cepa S'Arenal;;;;
;;;A04019674-Cepa Son Canals;;;;
;;;A04019675-Cepa Sud;;;;
;;;A04030893-Cifp Borja Moll;;;;
;;;A04019676-Cifp Can Marines;;;;
;;;A04030894-Cifp Centre Integrat Formació Professional Juníper Serra;;;;
;;;A04030895-Cifp Centre Integrat Formació Professional Pau Casesnoves;;;;
;;;A04019677-Cifp Escola Nauticopesquera;;;;
;;;A04019678-Cifp Joan Taix;;;;
;;;A04019679-Cifp per a l'Esport;;;;
;;;A04019680-Cifp Son Llebre;;;;
;;;A04019681-Cmd Conservatori Prof. Música i Dansa de Mallorca;;;;
;;;A04019682-Cmd Conservatori Prof. Música i Dansa de Menorca;;;;
;;;A04019683-Cmd Conservatori Prof. Música i Dansa d'Eivissa i Forment. C. Bufí;;;;
;;;A04019684-Cmm Conservatori Municipal de Felanitx;;;;
;;;A04019685-Cp Es Canyar;;;;
;;;A04019687-Csmd Conserv. Superior de Música i Dansa de les Illes Balears;;;;
;;;A04036592-Departamento de Centros Concertados;;;;
;;;A04019688-Ea Escola d'Art de Menorca;;;;
;;;A04019689-Ea Escola d'Art d'Eivissa;;;;
;;;A04019690-Ea Escola d'Art i Superior de Disseny de les Illes Balears;;;;
;;;A04036273-Ea Escola d'Art d'Eivissa;;;;
;;;A04038912-Eac Eivissa i Formentera;;;;
;;;A04038932-Eac Mallorca;;;;
;;;A04038914-Eac Menorca;;;;
;;;A04030904-Equip d'avaluació Dificultats Socialització i Comunicació Menorca;;;;
;;;A04030899-Eadisoc Equip d'avaluació Dificultats Socialització i Comunicació Mallorca;;;;
;;;A04030907-Eadivi Equip d'Atenció de la Discapacitat Visual Eivissa;;;;
;;;A04030908-Eadivi Equip d'Atenció de la Discapacitat Visual Mallorca;;;;
;;;A04030909-Eadivi Equip d'Atenció de la Discapacitat Visual Menorca;;;;
;;;A04019691-Eap Eivissa-Formentera;;;;
;;;A04019692-Eap Formentera;;;;
;;;A04019693-Eap Llevant;;;;
;;;A04036724-Eap Mallorca Centre;;;;
;;;A04019694-Eap Menorca;;;;
;;;A04019695-Eap Palma;;;;
;;;A04019696-Eap Ponent;;;;
;;;A04019697-Eap Raiguer;;;;
;;;A04030912-Ecla Equip Específic de Comunicació, Llenguatge i Aprenentatge;;;;
;;;A04038934-Ecla Mallorca;;;;
;;;A04019698-Ei Arc de San Martí;;;;
;;;A04019699-Ei Bendinat;;;;
;;;A04019700-Ei Benirràs;;;;
;;;A04019701-Ei Binipetit;;;;
;;;A04019702-Ei Ca Ses Monges;;;;
